id,评论ID,抖音号,评论内容,评论时间,评论获赞数,评论回复数,性别,年龄,地区,获赞数,关注数,粉丝数,作品数,动态数,粉丝数
222,你若安好，便是晴天。,2371158857,[赞][赞],2020-04-08 21:48:59,0,0,,,,,,,,,
223,Loyal1996,3554902284,如果把恋爱换成单恋，那我可能还有点话语权，母胎solo二十多年路过[泪奔],2020-04-08 21:41:53,0,0,,,,,,,,,
224,好 好,1169301730,不用课间，同桌一年多,2020-04-08 21:36:56,0,0,,,,,,,,,
225,宾,822672981,晚安……[玫瑰][爱心],2020-04-08 21:33:56,0,0,,,,,,,,,
226,西红柿炒番茄,842735086,起风了,2020-04-08 21:33:45,0,0,,,,,,,,,
227,亦然,342165306,晚安[玫瑰],2020-04-08 21:31:50,0,0,,,,,,,,,
228,您是恩赐亦是劫,2803739926,从来就没有,2020-04-08 21:31:09,3,0,,,,,,,,,
229,跌跌撞撞,935434133,[不看][不看]我又有情话去撩人了,2020-04-08 21:30:31,0,0,,,,,,,,,
230,冗哥,1133229718,还在啊，相信会一直一直下去的[666],2020-04-08 21:30:23,0,0,,,,,,,,,
231,珏珏珏珏珏、,961663851,扎心了老铁,2020-04-08 21:29:43,1,0,,,,,,,,,
232,雨天,3612476793,不在了[流泪],2020-04-08 21:29:34,0,0,,,,,,,,,
233,想读懂你,1336730799,[比心],2020-04-08 21:29:33,0,0,,,,,,,,,
234,谢先生,569470688,晚安,2020-04-08 21:28:43,0,0,,,,,,,,,
235,"so,sos",290489680,amber[比心][比心][比心],2020-04-08 21:28:03,0,0,,,,,,,,,
236,Sedenss无心的,1131713254,我是看帅哥都手忙脚乱啊[捂脸],2020-04-08 21:27:27,0,0,,,,,,,,,
237,zoe丶,1364495928,晚安,2020-04-08 21:26:32,6,0,,,,,,,,,
238,天儿啊,1961499566,听着 突然就哭了,2020-04-08 21:25:48,0,0,,,,,,,,,
239,沉淀,724710362,那一抚的风情……,2020-04-08 21:24:07,0,0,,,,,,,,,
240,小龙翎,2932353885,还是会怀念18年的纸短情长，会怀念19年的遥远的你。,2020-04-08 21:22:17,1,0,,,,,,,,,
241,Look.for心之所向,3435861190,你依然还在我心里637✨,2020-04-08 21:19:42,0,0,,,,,,,,,
242,.  冉弟,2321284965,以前听歌，听的是旋律。后来听歌，听的是歌词。再后来听歌，听的是故事，现在听歌，听的是自己。人生未到不感年，而立已是不感心。初听不知曲中意，再听已是曲中人。既然已是曲中人，何必在乎曲中意!但愿不做曲中人,2020-04-08 21:17:36,12,0,,,,,,,,,
243,鞠的宝贝,3494861487,说得好听是十分钟，也就只有3到5分钟而已[捂脸]。,2020-04-08 21:15:42,1,0,,,,,,,,,
244,风,2062371768,陷于关心，藏于隐忍。以前的歌，随风而去了吧。[心碎],2020-04-08 21:14:04,3,0,,,,,,,,,
245,不安分的少年,581206877,Amber小姐姐，以后可以不分享相思，失恋的短视频嘛，伤口撒盐总归不是一件快乐的事,2020-04-08 21:13:16,2,0,,,,,,,,,
246,See you tomorrow,2333138533,没有了，再也不是了,2020-04-08 21:12:38,0,0,,,,,,,,,
247,年少有为,2792713873,如今一个人听歌总会觉得失落,2020-04-08 21:11:03,1,0,,,,,,,,,
248,blue,100146016,@暖洋洋和懒羊羊☀ @曲大阳,2020-04-08 21:10:53,0,0,,,,,,,,,
249,心酸✔像酒,1558985171,她，不在了,2020-04-08 21:10:33,0,0,,,,,,,,,
250,有故事的陈❀,879941244,晚安[睡],2020-04-08 21:09:18,0,0,,,,,,,,,
251,天蝎座～毒蛇,2035658832,姐姐，每次看你视频我都有很大的感触，谢谢你！,2020-04-08 21:08:48,1,0,,,,,,,,,
252,TATmoeo,1050926988,高中时喜欢的人过了好几年想起来还是暖暖的，毕竟喜欢他时的那个我是最快乐的我,2020-04-08 21:08:37,1,0,,,,,,,,,
253,F.,2348119985,既然已成曲中人，何必再听曲中曲,2020-04-08 21:05:30,1,0,,,,,,,,,
254,F.,2348119985,听得曲中意，不做曲中人。听懂是经历，听不懂是故事,2020-04-08 21:04:57,5,1,,,,,,,,,
255,果色(´ฅω•ฅ｀)心情,2370917828,@常 @吕吖~ [捂脸][捂脸][捂脸],2020-04-08 21:04:35,0,6,,,,,,,,,
256,阁下',3620227729,"我就听懂了一首歌[微笑]
See you again.
歌词真的写得恰到好处[快哭了]",2020-04-08 21:02:13,6,0,,,,,,,,,
257,凌霄沐风子,3629847202,心声,2020-04-08 21:01:12,0,0,,,,,,,,,
258,宇智波,2327989769,我收集了两张含着记忆的车票，那是我奔赴千山万水去寻你的证据。而今，却不具任何意义。,2020-04-08 20:59:55,1,0,,,,,,,,,
259,啊哈哈哈,592339194,只能在你这找些鸡汤,2020-04-08 20:59:01,0,0,,,,,,,,,
260,乐晗Vae,3611455136,有些人止于唇齿，掩于岁月，这就是爱而不得吧,2020-04-08 20:56:32,38,1,,,,,,,,,
261,忆梦,3518962778,有些时候你爱的仅仅只是回忆里的那个少年，并不是他[灵机一动],2020-04-08 20:56:27,2,0,,,,,,,,,
262,Siri Lee,694392666,很喜欢听你的电台。爱了,2020-04-08 20:56:24,6,0,,,,,,,,,
263,Curry,1113381030,我承认你有几分姿色，但是如果我40岁，我一定离婚去娶你，如果我30岁一定分手去娶你，如果我20岁我一定不顾一切的去追你，可是我现在只有17岁，每天还要上网课，作业还有很多没做完！[看],2020-04-08 20:55:58,2,1,,,,,,,,,
264,专业抬棺--山西分队副队长,2327960656,前排，晚安Amber,2020-04-08 20:55:51,2,0,,,,,,,,,
265,等不到你的晚安.,94131573,翻我[呲牙],2020-04-08 20:54:35,0,0,,,,,,,,,
266,凤丹白,3404346898,母胎solo[泣不成声],2020-04-08 20:53:49,14,3,,,,,,,,,
267,一问三不知的阿丑姑娘,3567180951,没有过,2020-04-08 20:53:46,0,0,,,,,,,,,
268,Yyyy,189137697,但愿吧,2020-04-08 20:53:44,0,0,,,,,,,,,
269,疏影横斜✨,3430586629,每次听你说这些，都好想哭[泣不成声][泣不成声],2020-04-08 20:53:15,2,0,,,,,,,,,
270,大明,30511323,前排[送心],2020-04-08 20:53:10,0,0,,,,,,,,,
271,疏影横斜✨,3430586629,[泣不成声],2020-04-08 20:52:54,0,0,,,,,,,,,
272,淑女,2924282301,[不看][不看][不看],2020-04-08 20:51:57,1,0,,,,,,,,,
273,潇湘夜雨,367560455,姐姐我有铁粉标签吗[呲牙],2020-04-08 20:51:24,3,0,,,,,,,,,
274,终。,833421380,初听不知曲中意在听已是曲中人,2020-04-09 10:28:17,4,0,,,,,,,,,
275,上唇微甜＊泪微咸,175428577,你撩头发的那一瞬间让我想起了和她相见画面然后沉陷在有她的记忆里。,2020-04-19 15:18:08,0,0,,,,,,,,,
